Measured distance
2.36
4.11
4.11
2.65
3.55
2.36
2.07
5.27
3.25
1.78
8.48
8.48
3.55
fail
2.36
2.94
2.65
3.83
7.62
7.02
6.46
2.07
2.65
3.83
4.42
2.36
4.7
4.11
2.94
3.83
2.36
6.73
5.85
3.55
10.52
2.94
4.42
4.11
2.65
2.07
4.11
2.65
5.58
9.93
2.07
6.46
2.36
6.17
3.23
9.06
2.07
4.42
2.07
2.65
5.27
7.02
3.83
2.96
2.94
4.11
fail
21.27
7.02
fail
2.36
4.7
2.96
35.39
5.86
6.73
3.25
5.27
11.37
1.78
6.73
14.98
6.73
5.59
3.55
2.95
2.07
2.07
3.83
20.98
2.07
2.36
5.59
2.96
4.42
3.25
3.23
3.83
2.07
fail
4.42
fail
2.36
1.78
6.73
2.65
